Nom,Insee,cp,arr,Canton,epci,pop,lat,long,alti,surf
Pontivy,56178,56300,2,Pontivy,CC Pontivy Communauté,14547,48.06889,-2.96861,59,25.12
Porcaro,56180,56380,3,Guer,CC de l'Oust à Brocéliande,749,47.90889,-2.19611,60,15.56
Port-Louis,56181,56290,1,Hennebont,CA Lorient Agglomération,2689,47.70639,-3.35389,10,1.29
Priziac,56182,56320,2,Gourin,CC Roi Morvan Communauté,1024,48.06028,-3.41028,166,45.84
Questembert,56184,56230,3,Questembert,CC Questembert Communauté,8081,47.66111,-2.45139,100,65.67
Quéven,56185,56530,1,Ploemeur,CA Lorient Agglomération,8906,47.78889,-3.41333,55,23.91
Quiberon,56186,56170,1,Quiberon,CC Auray Quiberon Terre Atlantique,4782,47.48167,-3.11583,17,9.2
Quistinic,56188,56310,1,Guidel,CA Lorient Agglomération,1423,47.905,-3.13417,120,42.84
Radenac,56189,56500,2,Grand-Champ,CC Pontivy Communauté,1067,47.96278,-2.71194,105,21.72
Réguiny,56190,56500,2,Grand-Champ,CC Pontivy Communauté,1944,47.97667,-2.74417,117,28.09
Réminiac,56191,56140,3,Guer,CC de l'Oust à Brocéliande,431,47.85972,-2.23111,70,12.13
Riantec,56193,56670,1,Hennebont,CA Lorient Agglomération,5742,47.71083,-3.31028,5,14.39
Rieux,56194,56350,3,Guer,CA Redon Agglomération,2841,47.59806,-2.10528,20,27.65
la Roche-Bernard,56195,56130,3,Muzillac,CC Arc Sud Bretagne,720,47.51972,-2.2975,50,0.52
Rochefort-en-Terre,56196,56220,3,Questembert,CC Questembert Communauté,636,47.69861,-2.33417,50,1.27
Rohan,56198,56580,2,Grand-Champ,CC Pontivy Communauté,1541,48.06889,-2.7525,70,23.49
Roudouallec,56199,56110,2,Gourin,CC Roi Morvan Communauté,715,48.12583,-3.71778,170,24.9
Ruffiac,56200,56140,3,Moréac,CC de l'Oust à Brocéliande,1396,47.81805,-2.27917,54,36.91
le Saint,56201,56110,2,Gourin,CC Roi Morvan Communauté,611,48.08861,-3.56389,160,31.33
Saint-Abraham,56202,56140,3,Moréac,CC de l'Oust à Brocéliande,540,47.85583,-2.40639,60,6.74
Saint-Aignan,56203,56480,2,Gourin,CC Pontivy Communauté,632,48.18278,-3.01361,80,27.63
Saint-Allouestre,56204,56500,2,Moréac,CC Centre Morbihan Communauté,651,47.91056,-2.72111,105,16.69
Saint-Armel,56205,56450,3,Séné,CA Golfe du Morbihan - Vannes Agglomération,885,47.57167,-2.70861,10,7.7
Saint-Avé,56206,56890,3,Vannes-3,CA Golfe du Morbihan - Vannes Agglomération,12173,47.69056,-2.73667,51,26.24
Saint-Barthélemy,56207,56150,2,Pontivy,CC Baud Communauté,1182,47.92583,-3.04389,90,22.18
Saint-Brieuc-de-Mauron,56208,56430,2,Ploërmel,Ploërmel Communauté,294,48.08944,-2.35833,90,15.02
Saint-Caradec-Trégomel,56210,56540,2,Gourin,CC Roi Morvan Communauté,468,48.03861,-3.35,173,16.16
Saint-Congard,56211,56140,3,Moréac,CC de l'Oust à Brocéliande,806,47.77028,-2.31556,10,21.8
Saint-Dolay,56212,56130,3,Muzillac,CC Arc Sud Bretagne,2636,47.54472,-2.15278,43,48.98
Saint-Gérand-Croixanvec,56213,56920,2,Pontivy,CC Pontivy Communauté,1309,48.10861,-2.88667,130,18.27
Saint-Gildas-de-Rhuys,56214,56730,3,Séné,CA Golfe du Morbihan - Vannes Agglomération,1784,47.50056,-2.83694,36,15.46
Saint-Gonnery,56215,56920,2,Pontivy,CC Pontivy Communauté,1087,48.12389,-2.81861,130,16.63
Saint-Gorgon,56216,56350,3,Guer,CA Redon Agglomération,428,47.64944,-2.23333,81,5.76
Saint-Gravé,56218,56220,3,Questembert,CC Questembert Communauté,745,47.72556,-2.2775,79,15.84
Saint-Guyomard,56219,56460,3,Moréac,CC de l'Oust à Brocéliande,1446,47.78028,-2.51139,96,19.87
Saint-Jacut-les-Pins,56221,56220,3,Guer,CA Redon Agglomération,1733,47.68472,-2.21278,53,22.7
Saint-Jean-Brévelay,56222,56660,2,Moréac,CC Centre Morbihan Communauté,2860,47.84528,-2.72,98,41.75
Saint-Jean-la-Poterie,56223,56350,3,Guer,CA Redon Agglomération,1430,47.63472,-2.12472,50,8.31
Saint-Laurent-sur-Oust,56224,56140,3,Moréac,CC de l'Oust à Brocéliande,394,47.7925,-2.31778,10,3.88
Saint-Léry,56225,56430,2,Ploërmel,Ploërmel Communauté,205,48.08972,-2.25389,60,1.63
Saint-Malo-de-Beignon,56226,56380,3,Guer,CC de l'Oust à Brocéliande,543,47.95694,-2.14722,65,3.5
Saint-Malo-des-Trois-Fontaines,56227,56490,2,Ploërmel,Ploërmel Communauté,562,48.01278,-2.46833,70,16.03
Saint-Marcel,56228,56140,3,Moréac,CC de l'Oust à Brocéliande,1129,47.80472,-2.41833,60,13.02
Saint-Martin-sur-Oust,56229,56200,3,Guer,CC de l'Oust à Brocéliande,1305,47.74528,-2.25111,10,28.08
Saint-Nicolas-du-Tertre,56230,56910,3,Moréac,CC de l'Oust à Brocéliande,455,47.80278,-2.21972,60,13.34
Saint-Nolff,56231,56250,3,Vannes-3,CA Golfe du Morbihan - Vannes Agglomération,3952,47.70361,-2.64944,84,25.94
Saint-Perreux,56232,56350,3,Guer,CA Redon Agglomération,1049,47.67528,-2.1075,15,6.21
Saint-Philibert,56233,56470,1,Auray,CC Auray Quiberon Terre Atlantique,1580,47.58556,-2.99972,10,7.33
Saint-Pierre-Quiberon,56234,56510,1,Quiberon,CC Auray Quiberon Terre Atlantique,2327,47.51917,-3.12861,10,7.81
Saint-Servant,56236,56120,2,Ploërmel,Ploërmel Communauté,789,47.91528,-2.51056,70,22.53
Saint-Thuriau,56237,56300,2,Pontivy,CC Pontivy Communauté,1880,48.01694,-2.94833,100,21.55
Saint-Tugdual,56238,56540,2,Gourin,CC Roi Morvan Communauté,375,48.10028,-3.33944,180,20.26
Saint-Vincent-sur-Oust,56239,56350,3,Guer,CA Redon Agglomération,1647,47.69861,-2.145,60,16.01
Sainte-Anne-d'Auray,56263,56400,1,Auray,CC Auray Quiberon Terre Atlantique,2837,47.70389,-2.95278,50,5.01
Sainte-Brigitte,56209,56480,2,Gourin,CC Pontivy Communauté,178,48.16389,-3.12639,216,17.78
Sainte-Hélène,56220,56700,1,Pluvigner,CC de Blavet Bellevue Océan,1298,47.72,-3.20306,20,10.65
Sarzeau,56240,56370,3,Séné,CA Golfe du Morbihan - Vannes Agglomération,9068,47.52667,-2.76889,28,59.7
Sauzon,56241,56360,1,Quiberon,CC de Belle Ile en Mer,1043,47.37139,-3.21972,30,22.69
Séglien,56242,56160,2,Gourin,CC Pontivy Communauté,656,48.10806,-3.15694,223,38.39
Séné,56243,56860,3,Séné,CA Golfe du Morbihan - Vannes Agglomération,9265,47.61917,-2.735,10,21.74
Sérent,56244,56460,3,Moréac,CC de l'Oust à Brocéliande,3386,47.82361,-2.505,70,60.39
Silfiac,56245,56480,2,Gourin,CC Pontivy Communauté,488,48.14972,-3.1575,270,22.52
le Sourn,56246,56300,2,Pontivy,CC Pontivy Communauté,2128,48.04361,-2.99,106,16.11
Sulniac,56247,56250,3,Questembert,CA Golfe du Morbihan - Vannes Agglomération,3847,47.67556,-2.56861,120,28.12
Surzur,56248,56450,3,Séné,CA Golfe du Morbihan - Vannes Agglomération,5110,47.5775,-2.62889,25,59.1
Taupont,56249,56800,2,Ploërmel,Ploërmel Communauté,2400,47.95944,-2.43667,78,30.56
Théhillac,56250,56130,3,Guer,CA Redon Agglomération,610,47.57111,-2.10972,20,14.44
Theix-Noyalo,56251,56450,3,Séné,CA Golfe du Morbihan - Vannes Agglomération,8476,47.62778,-2.64778,10,47.49
le Tour-du-Parc,56252,56370,3,Séné,CA Golfe du Morbihan - Vannes Agglomération,1259,47.525,-2.64639,12,9.95
Tréal,56253,56140,3,Guer,CC de l'Oust à Brocéliande,679,47.83833,-2.22139,90,19.26
Trédion,56254,56250,3,Questembert,CA Golfe du Morbihan - Vannes Agglomération,1369,47.79361,-2.59028,83,25.85
Treffléan,56255,56250,3,Vannes-3,CA Golfe du Morbihan - Vannes Agglomération,2531,47.68139,-2.61194,110,18.53
Tréhorenteuc,56256,56430,2,Ploërmel,Ploërmel Communauté,112,48.00889,-2.28194,92,5.4
la Trinité-Porhoët,56257,56490,2,Ploërmel,Ploërmel Communauté,667,48.09917,-2.54333,80,12.76
la Trinité-sur-Mer,56258,56470,1,Quiberon,CC Auray Quiberon Terre Atlantique,1837,47.58639,-3.02806,28,6.42
la Trinité-Surzur,56259,56190,3,Séné,CA Golfe du Morbihan - Vannes Agglomération,1699,47.60333,-2.58889,23,2.41
Val d'Oust,56197,56460,2,Moréac,Ploërmel Communauté,2808,47.86389,-2.44833,35,9.97
Vannes [3],56260,56000,3,Vannes,CA Golfe du Morbihan - Vannes Agglomération,54955,47.655,-2.76056,10,33.24
